stream_id,name,role
318197263503692449077822,Jl. Tlogomas Arah Barat,commute
704720868465795037095760,Jl. Tlogomas Arah Timur,commute
097779292771471341955457,Pertigaan Tunggulmas,dest1+2
522539750301519499247770,Jembatan TunggulMas,dest2
180731272173025410229793,Jl Raya Tlogomas 83 Arah Timur,commute
572534477246123479166921,Jl Raya Tlogomas 14a Arah Barat,commute
639466428930627267991858,Jl. Sumber Sari Arah Utara,dest3
967823448439028638648911,Jl. Sigura-Gura Arah Barat,dest3
767576969564466612969572,Jl Veteran Gerbang UB,dest3
636589114401733445781917,Jl. Veteran Arah Timur,dest3
673512185163543498056968,Jl. Panjaitan Arah Timur,commute
446907421280943044413749,Jl MT Haryono Arah Barat,commute
268660637162985239935545,Jl. Ijen Arah Utara,cafe
322877538584592778525433,Jl. Kawi Arah Barat,cafe
184398221253246434285173,Jl. Soekarno Hatta Arah Timur (Center Point),cafe
227920422769509645238654,Jl. Soekarno Hatta Arah Selatan,cafe
077636403437244032401245,Jl. Terusan Dieng Arah Barat,cafe
