ts,camera_id,name,role,bytes,motion,frames
2026-08-30T20:48:54+07:00,318197263503692449077822,Jl. Tlogomas Arah Barat,commute,75388,1.956,49
2026-08-30T20:48:55+07:00,704720868465795037095760,Jl. Tlogomas Arah Timur,commute,81780,3.071,49
2026-08-30T20:48:56+07:00,097779292771471341955457,Pertigaan Tunggulmas,dest1+2,119756,6.732,49
2026-08-30T20:48:57+07:00,522539750301519499247770,Jembatan TunggulMas,dest2,123704,0.456,49
2026-08-30T20:48:58+07:00,180731272173025410229793,Jl Raya Tlogomas 83 Arah Timur,commute,80652,2.716,49
2026-08-30T20:48:59+07:00,572534477246123479166921,Jl Raya Tlogomas 14a Arah Barat,commute,87420,3.412,49
2026-08-30T20:49:02+07:00,639466428930627267991858,Jl. Sumber Sari Arah Utara,dest3,66740,1.849,49
2026-08-30T20:49:03+07:00,967823448439028638648911,Jl. Sigura-Gura Arah Barat,dest3,58656,1.013,49
2026-08-30T20:49:04+07:00,767576969564466612969572,Jl Veteran Gerbang UB,dest3,52640,0.855,29
2026-08-30T20:49:05+07:00,636589114401733445781917,Jl. Veteran Arah Timur,dest3,66928,0.633,49
2026-08-30T20:49:07+07:00,673512185163543498056968,Jl. Panjaitan Arah Timur,commute,58656,0.882,49
2026-08-30T20:49:08+07:00,446907421280943044413749,Jl MT Haryono Arah Barat,commute,139684,5.328,29
2026-08-30T20:49:10+07:00,268660637162985239935545,Jl. Ijen Arah Utara,cafe,50948,1.383,49
2026-08-30T20:49:11+07:00,322877538584592778525433,Jl. Kawi Arah Barat,cafe,72192,2.344,49
2026-08-30T20:49:12+07:00,184398221253246434285173,Jl. Soekarno Hatta Arah Timur (Center Point),cafe,58280,3.445,49
2026-08-30T20:49:13+07:00,227920422769509645238654,Jl. Soekarno Hatta Arah Selatan,cafe,139684,5.14,29
2026-08-30T20:49:14+07:00,077636403437244032401245,Jl. Terusan Dieng Arah Barat,cafe,67868,0.271,49
2026-08-30T20:53:37+07:00,318197263503692449077822,Jl. Tlogomas Arah Barat,commute,70312,3.416,49
2026-08-30T20:53:39+07:00,704720868465795037095760,Jl. Tlogomas Arah Timur,commute,59972,0.877,49
2026-08-30T20:53:40+07:00,097779292771471341955457,Pertigaan Tunggulmas,dest1+2,112612,0.3,49
2026-08-30T20:53:41+07:00,522539750301519499247770,Jembatan TunggulMas,dest2,119004,0.744,49
2026-08-30T20:53:42+07:00,180731272173025410229793,Jl Raya Tlogomas 83 Arah Timur,commute,99828,3.27,49
2026-08-30T20:53:43+07:00,572534477246123479166921,Jl Raya Tlogomas 14a Arah Barat,commute,68056,1.603,49
2026-08-30T20:53:44+07:00,639466428930627267991858,Jl. Sumber Sari Arah Utara,dest3,62792,1.749,49
2026-08-30T20:53:46+07:00,967823448439028638648911,Jl. Sigura-Gura Arah Barat,dest3,68056,2.14,49
2026-08-30T20:53:47+07:00,767576969564466612969572,Jl Veteran Gerbang UB,dest3,60348,0.805,29
2026-08-30T20:53:48+07:00,636589114401733445781917,Jl. Veteran Arah Timur,dest3,60348,1.734,49
